experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,rates_valid,finite_metrics,speed_valid,message
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5113,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5113,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5113,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5113,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5113,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5114,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5114,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5114,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5114,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5114,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5114,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5114,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5114,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5115,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5115,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5115,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5115,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5115,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5115,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5115,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5115,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5116,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5116,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5116,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5116,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5116,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5116,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5116,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5116,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5117,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5117,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5117,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5117,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5117,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5117,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5117,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5117,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5118,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5118,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5118,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5118,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5118,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5118,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5118,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5118,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5119,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5119,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5119,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5119,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5119,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5119,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5119,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5119,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5120,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5120,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5120,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5120,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5120,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5120,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5120,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5120,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5121,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5121,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5121,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5121,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5121,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5121,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5121,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5121,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5122,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5122,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5122,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5122,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5122,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5122,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5122,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5122,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5123,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5123,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5123,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5123,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5123,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5123,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5123,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5123,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5124,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5124,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5124,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5124,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5124,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5124,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5124,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5124,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5125,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5125,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5125,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5125,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5125,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5125,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5125,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5125,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5126,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5126,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5126,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5126,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5126,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5126,smith_motion_field,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5126,energy_aware_smith_motion,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5126,reference_time_expanded_cbf,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5127,direct_to_target,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5127,priority_yield,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5127,apf_obstacle_avoidance,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5127,velocity_obstacle_proxy,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5127,cbf_safety_filter,True,True,True,True,
SP4_MC_motion_comparison,long_distance_energy,long_distance_energy_v00,5127,smith_motion_field,True,True,True,True,
